team|played|goals|xg|goals_vs_xg|shots|sot|conv|xg_per_shot|SOT_per_shot|_sortKey
Arsenal|20|40|36.6|3.4|304|102|13.16%|0.12|2.98|1
Aston Villa|20|33|23.96|9.04|230|87|14.35%|0.10|2.64|1
Bournemouth|20|31|31.68|-0.68|278|101|11.15%|0.11|2.75|1
Brentford|20|32|31.51|0.49|198|83|16.16%|0.16|2.39|1
Brighton|20|30|32.41|-2.41|271|90|11.07%|0.12|3.01|1
Burnley|20|20|17.88|2.12|180|62|11.11%|0.10|2.90|1
Chelsea|20|33|34.86|-1.86|278|95|11.87%|0.13|2.93|1
Crystal Palace|20|22|32.18|-10.18|235|76|9.36%|0.14|3.09|1
Everton|20|22|22.74|-0.74|215|64|10.23%|0.11|3.36|1
Fulham|20|28|23.06|4.94|235|74|11.91%|0.10|3.18|1
Leeds|20|26|28.64|-2.64|254|80|10.24%|0.11|3.18|1
Liverpool|20|32|31.98|0.02|301|84|10.63%|0.11|3.58|1
Man City|20|44|37.69|6.31|284|106|15.49%|0.13|2.68|1
Man Utd|20|34|35.79|-1.79|321|109|10.59%|0.11|2.94|1
Newcastle|20|28|29.26|-1.26|254|93|11.02%|0.12|2.73|1
Nottm Forest|20|19|23.69|-4.69|247|80|7.69%|0.10|3.09|1
Spurs|20|28|19.28|8.72|198|68|14.14%|0.10|2.91|1
Sunderland|20|21|16.72|4.28|191|62|10.99%|0.09|3.08|1
West Ham|20|21|20.53|0.47|196|67|10.71%|0.10|2.93|1
Wolves|20|14|18.99|-4.99|178|63|7.87%|0.11|2.83|1
