team|played|goals|xg|goals_vs_xg|shots|sot|conv|xg_per_shot|SOT_per_shot|_sortKey
Arsenal|24|46|42.66|3.34|358|122|12.85%|0.119162011|2.93442623|1
Aston Villa|24|35|30.7|4.3|304|108|11.51%|0.100986842|2.814814815|1
Bournemouth|24|40|37.93|2.07|321|115|12.46%|0.118161994|2.791304348|1
Brentford|24|36|38.45|-2.45|247|97|14.57%|0.155668016|2.546391753|1
Brighton|24|34|37.62|-3.62|318|105|10.69%|0.118301887|3.028571429|1
Burnley|24|25|20.01|4.99|208|68|12.02%|0.096201923|3.058823529|1
Chelsea|24|42|43.75|-1.75|322|115|13.04%|0.135869565|2.8|1
Crystal Palace|24|25|37.96|-12.96|279|93|8.96%|0.136057348|3|1
Everton|24|26|26.03|-0.03|254|76|10.24%|0.102480315|3.342105263|1
Fulham|24|34|27.64|6.36|285|90|11.93%|0.096982456|3.166666667|1
Leeds|24|31|33.49|-2.49|299|96|10.37%|0.112006689|3.114583333|1
Liverpool|24|39|38.69|0.31|372|106|10.48%|0.104005376|3.509433962|1
Man City|24|49|43.64|5.36|338|120|14.50%|0.129112426|2.816666667|1
Man Utd|24|44|43.11|0.89|385|135|11.43%|0.111974026|2.851851852|1
Newcastle|24|33|35.17|-2.17|307|109|10.75%|0.114560261|2.816513761|1
Nottm Forest|24|24|26.67|-2.67|282|88|8.51%|0.094574468|3.204545455|1
Spurs|24|35|25.07|9.93|265|95|13.21%|0.094603774|2.789473684|1
Sunderland|24|27|22.03|4.97|236|79|11.44%|0.093347458|2.987341772|1
West Ham|24|29|26.96|2.04|251|85|11.55%|0.107410359|2.952941176|1
Wolves|24|15|21.99|-6.99|225|77|6.67%|0.097733333|2.922077922|1
